objectid,filename,  object_location,image_small,image_thumb,display_template,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,,type,format,language,rights,rightsstatement
ec_0001,Alspaugh_B2_500px.jpg,/objects/Alspaugh_B2_500px.jpg,/objects/small/Alspaugh_B2_500px_sm.jpg,/objects/small/Alspaugh_B2_500px_th.jpg,image,,,Alspaugh Residence Hall,Office of Horace Trumbauer,1926,Georgian Revival,,"Duke University;Durham, NC",36.008146,-78.915037,,Alspaugh_B2_500px,jpg,dorm,image/jpeg,,Duke University Archives,
ec_0002,Ark_B1_500px.jpg,/objects/Ark_B1_500px.jpg,/objects/small/Ark_B1_500px_sm.jpg,/objects/small/Ark_B1_500px_th.jpg,image,,,Angier Buchanan Duke Gymnasium,Unknown,1898,woodframe,,"Duke University;Durham, NC",36.007164,-78.913563,,Ark_B1_500px,jpg,gym,image/jpeg,,Duke University Archives,
ec_0003,Baldwin_B2_500px.jpg,/objects/Baldwin_B2_500px.jpg,/objects/small/Baldwin_B2_500px_sm.jpg,/objects/small/Baldwin_B2_500px_th.jpg,image,,,Baldwin Auditorium,Office of Horace Trumbauer,1927,Georgian Revival,,"Duke University;Durham, NC",36.008906,-78.914659,,Baldwin_B2_500px,jpg,auditorium,image/jpeg,,Duke University Archives,
ec_0004,Bassett_B2_500px_0.jpg,/objects/Bassett_B2_500px_0.jpg,/objects/small/Bassett_B2_500px_0_sm.jpg,/objects/small/Bassett_B2_500px_0_th.jpg,image,,,Bassett Residence Hall,Office of Horace Trumbauer,1927,Georgian Revival,,"Duke University;Durham, NC",36.008774,-78.91418,,Bassett_B2_500px_0,jpg,dorm,image/jpeg,,Duke University Archives,
ec_0005,belltower-long.gif,/objects/belltower-long.gif,,,image,,,Bell Tower Residence Hall,Architectural Resources Cambridge,2006,Neotraditional,,"Duke University;Durham, NC",36.007032,-78.918468,,Belltower-long,dorm,image/gif,,Duke University Archives,,
ec_0006,Bishop_B1_500px.jpg,/objects/Bishop_B1_500px.jpg,/objects/small/Bishop_B1_500px_sm.jpg,/objects/small/Bishop_B1_500px_th.jpg,image,,,Bishop's House,William Albert Wilkerson,1910,Bungalow,,"Duke University;Durham, NC",36.008776,-78.913237,,Bishop_B1_500px,jpg,house,image/jpeg,,Duke University Archives,
ec_0007,Bivins_B1_500px.jpg,/objects/Bivins_B1_500px.jpg,/objects/small/Bivins_B1_500px_sm.jpg,/objects/small/Bivins_B1_500px_th.jpg,image,,,Bivins Building,Unknown,1905,Spanish Mission,,"Duke University;Durham, NC",36.008859,-78.917409,,Bivins_B1_500px,jpg,dorm,image/jpeg,,Duke University Archives,
ec_0008,,,,,record,,,Blackwell Residence Hall,Architectural Resources Cambridge; Little and Associates Architects,1994,Neotraditional,,"Duke University;Durham, NC",36.006448,-78.916255,,,,dorm,image/jpeg,,Duke University Archives,
ec_0009,Branson_B1_500px.jpg,/objects/Branson_B1_500px.jpg,/objects/small/Branson_B1_500px_sm.jpg,/objects/small/Branson_B1_500px_th.jpg,image,,,Branson Hall,Unknown; Architectural Resources Cambridge; Little and Associates Architects,1899,red brick,,"Duke University;Durham, NC",36.007001,-78.916275,,Branson_B1_500px,jpg,academics,image/jpeg,,Duke University Archives,
ec_0010,,,,,record,,,Brodie Recreation Center,Hastings & Chivetta,1922-23,red brick,,"Duke University;Durham, NC",36.007324,-78.917141,,,,gym,image/jpeg,,Duke University Archives,
